Deal_id,Deal_created_at,Deal_Value,Deal_Stage,Deal _Status,Deal_Email_messages_count,Deal_Total_activities,Deal_Currency,Deal_Region
Adlud_deal_d094,20/09/2019 14:18,164705,Contacted,Won,0,0,HKD,APAC & RESELLERS
Adlud_deal_d095,19/11/2020 11:57,161000,Contacted,Won,0,0,HKD,APAC & RESELLERS
Adlud_deal_d096,22/03/2019 05:14,160000,RFP,Won,0,0,USD,US
Adlud_deal_d097,31/07/2019 11:12,159823,Contacted,Won,0,2,HKD,APAC & RESELLERS
Adlud_deal_d098,07/01/2019 11:49,152941,Contacted,Won,0,6,HKD,APAC & RESELLERS
Adlud_deal_d099,31/01/2019 07:44,152941,Contacted,Won,0,12,HKD,APAC & RESELLERS
Adlud_deal_d100,22/03/2019 12:00,152941,Contacted,Won,0,22,HKD,APAC & RESELLERS
Adlud_deal_d101,05/05/2020 13:02,152941,Contacted,Won,0,0,HKD,APAC & RESELLERS
Adlud_deal_d102,21/05/2019 11:31,151764.71,RFP,Won,0,5,MYR,APAC & RESELLERS
Adlud_deal_d103,04/02/2019 18:49,150000,IO Sent,Deleted,3,0,USD,APAC & RESELLERS
Adlud_deal_d104,14/05/2019 12:57,150000,Contacted,Lost,0,8,HKD,APAC & RESELLERS
Adlud_deal_d105,17/07/2019 12:20,150000,Contacted,Lost,0,4,HKD,APAC & RESELLERS
Adlud_deal_d106,21/02/2020 06:34,150000,Contacted,Lost,0,1,HKD,APAC & RESELLERS
Adlud_deal_d107,07/04/2020 12:51,150000,Contacted,Lost,0,1,HKD,APAC & RESELLERS
Adlud_deal_d108,05/06/2019 14:52,150000,RFP,Lost,0,0,USD,US
Adlud_deal_d109,07/01/2020 07:31,150000,RFP,Lost,0,0,USD,US
Adlud_deal_d110,13/08/2020 22:24,150000,RFP,Lost,0,0,USD,US
Adlud_deal_d111,17/10/2020 01:22,150000,RFP,Lost,0,0,USD,US
Adlud_deal_d112,21/11/2019 21:11,150000,RFP,Lost,0,0,USD,US
Adlud_deal_d113,29/06/2020 12:13,150000,Contacted,Lost,0,0,GBP,UK & EUROPE
Adlud_deal_d114,16/01/2020 22:54,150000,Contacted,Lost,0,0,USD,US
Adlud_deal_d115,10/06/2020 15:21,150000,Contacted,Lost,0,0,GBP,UK & EUROPE
Adlud_deal_d116,16/07/2020 12:57,150000,Contacted,Lost,0,0,GBP,UK & EUROPE
Adlud_deal_d117,04/11/2019 12:56,150000,Contacted,Lost,0,11,GBP,UK & EUROPE
Adlud_deal_d118,07/10/2019 11:30,150000,IO Sent,Won,4,0,USD,UK & EUROPE
Adlud_deal_d119,24/06/2019 18:46,150000,RFP,Won,0,0,USD,US
Adlud_deal_d120,24/01/2019 03:16,150000,RFP,Won,0,0,USD,US
Adlud_deal_d121,09/05/2019 21:05,150000,RFP,Lost,0,0,USD,US
Adlud_deal_d122,12/09/2019 22:14,150000,RFP,Lost,0,0,USD,US
Adlud_deal_d123,29/10/2019 18:38,150000,RFP,Lost,0,0,USD,US
Adlud_deal_d124,29/10/2019 18:39,150000,RFP,Lost,0,0,USD,US
Adlud_deal_d125,29/10/2019 18:41,150000,RFP,Lost,0,0,USD,US
Adlud_deal_d126,17/01/2020 14:50,150000,Contacted,Lost,0,0,GBP,UK & EUROPE
Adlud_deal_d127,23/08/2019 11:38,147058,Contacted,Won,0,2,HKD,APAC & RESELLERS
Adlud_deal_d128,04/08/2020 02:54,141800,RFP,Won,0,0,USD,US
Adlud_deal_d129,12/03/2019 06:47,141176.47,Contacted,Lost,0,2,HKD,APAC & RESELLERS
Adlud_deal_d130,25/02/2019 07:30,141176.47,Contacted,Lost,0,9,HKD,APAC & RESELLERS
Adlud_deal_d131,05/03/2019 14:13,141176.47,Contacted,Lost,0,5,HKD,APAC & RESELLERS
Adlud_deal_d132,03/07/2019 10:56,141176.47,Contacted,Lost,0,2,HKD,APAC & RESELLERS
Adlud_deal_d133,08/07/2019 13:57,141176.47,Contacted,Lost,0,4,HKD,APAC & RESELLERS
Adlud_deal_d134,20/08/2019 13:41,141176.47,Contacted,Lost,0,1,HKD,APAC & RESELLERS
Adlud_deal_d135,12/03/2019 06:48,141176.47,Contacted,Lost,0,0,HKD,APAC & RESELLERS
Adlud_deal_d136,30/04/2019 08:03,141176.47,Contacted,Lost,0,0,HKD,APAC & RESELLERS
Adlud_deal_d137,11/09/2019 12:52,141176.47,Contacted,Lost,0,0,HKD,APAC & RESELLERS
Adlud_deal_d138,11/02/2020 09:49,141176.47,Contacted,Lost,0,0,HKD,APAC & RESELLERS
Adlud_deal_d139,18/02/2020 07:04,141176.47,Contacted,Lost,0,0,HKD,APAC & RESELLERS
Adlud_deal_d140,28/02/2020 10:09,141176.47,Contacted,Lost,0,0,HKD,APAC & RESELLERS
Adlud_deal_d141,25/03/2020 11:01,141176.47,Contacted,Lost,0,0,HKD,APAC & RESELLERS
Adlud_deal_d142,01/06/2020 05:49,141176.47,Contacted,Lost,0,0,HKD,APAC & RESELLERS
Adlud_deal_d143,29/06/2020 10:04,141176.47,Contacted,Lost,0,0,HKD,APAC & RESELLERS
Adlud_deal_d144,29/01/2019 07:35,141176.47,Contacted,Won,0,10,HKD,APAC & RESELLERS
Adlud_deal_d145,07/03/2019 13:46,141176.47,Contacted,Won,0,8,HKD,APAC & RESELLERS
Adlud_deal_d146,26/03/2019 13:38,141176.47,Contacted,Won,0,14,HKD,APAC & RESELLERS
Adlud_deal_d147,30/01/2019 05:37,141176.47,Contacted,Won,0,3,HKD,APAC & RESELLERS
Adlud_deal_d148,12/03/2019 13:00,141176.47,Contacted,Won,0,6,HKD,APAC & RESELLERS
Adlud_deal_d149,24/04/2019 14:08,141176.47,Contacted,Won,0,13,HKD,APAC & RESELLERS
Adlud_deal_d150,10/09/2019 11:51,141176.47,Contacted,Won,0,2,HKD,APAC & RESELLERS
Adlud_deal_d151,29/10/2019 06:42,141176.47,Contacted,Won,0,4,HKD,APAC & RESELLERS
Adlud_deal_d152,06/11/2019 13:56,141176.47,Contacted,Won,0,0,HKD,APAC & RESELLERS
Adlud_deal_d153,19/08/2019 13:58,141176.47,RFP,Won,0,0,USD,APAC & RESELLERS
